taxon	sequenceID	host_sci_name	name	clade
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1233	1233	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1242	1242	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1244	1244	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1245	1245	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1246	1246	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1247	1247	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1249	1249	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1250	1250	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1254	1254	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1256	1256	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1257	1257	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1258	1258	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1259	1259	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1260	1260	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1266	1266	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1267	1267	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1271	1271	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1272	1272	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1274	1274	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1294	1294	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1297	1297	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1299	1299	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1300	1300	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1301	1301	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1302	1302	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1303	1303	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1305	1305	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1307	1307	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1331	1331	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1343	1343	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1349	1349	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1356	1356	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1357	1357	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1358	1358	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1359	1359	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1360	1360	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/137	137	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1373	1373	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1378	1378	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1382	1382	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1385	1385	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1386	1386	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1389	1389	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/139	139	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1402	1402	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1411	1411	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1419	1419	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1429	1429	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/144	144	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/153	153	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/160	160	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/176	176	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/187	187	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/194	194	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/196	196	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/20	20	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/203	203	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/204	204	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/214	214	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/215	215	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/224	224	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/230	230	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/233	233	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/237	237	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/238	238	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/240	240	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/246	246	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/249	249	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/254	254	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/262	262	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/263	263	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/264	264	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/266	266	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/268	268	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/274	274	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/28	28	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/281	281	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/282	282	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/287	287	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/289	289	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/290	290	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/291	291	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/292	292	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/3	3	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/303	303	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/309	309	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/31	31	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/310	310	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/311	311	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/312	312	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/313	313	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/314	314	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/315	315	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/325	325	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/332	332	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/34	34	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/343	343	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/345	345	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/346	346	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/355	355	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/364	364	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/365	365	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/366	366	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/369	369	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/37	37	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/370	370	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/378	378	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/382	382	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/388	388	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/398	398	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/418	418	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/42	42	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/429	429	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/43	43	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/431	431	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/434	434	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/441	441	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/442	442	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/443	443	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/444	444	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/449	449	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/45	45	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/450	450	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/451	451	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/455	455	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/46	46	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/468	468	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/478	478	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/479	479	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/480	480	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/481	481	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/486	486	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/487	487	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/488	488	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/490	490	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/499	499	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/500	500	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/501	501	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/510	510	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/515	515	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/522	522	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/525	525	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/529	529	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/531	531	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/532	532	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/533	533	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/534	534	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/546	546	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/547	547	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/548	548	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/559	559	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/561	561	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/574	574	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/576	576	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/577	577	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/578	578	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/579	579	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/580	580	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/581	581	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/589	589	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/593	593	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/599	599	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/609	609	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/616	616	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/63	63	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/634	634	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/635	635	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/636	636	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/637	637	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/638	638	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/639	639	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/641	641	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/650	650	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/651	651	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/655	655	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/656	656	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/658	658	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/665	665	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/666	666	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/667	667	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/668	668	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/669	669	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/67	67	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/670	670	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/676	676	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/677	677	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/678	678	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/679	679	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/680	680	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/681	681	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/683	683	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/701	701	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/702	702	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/703	703	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/704	704	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/705	705	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/707	707	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/724	724	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/733	733	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/737	737	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/741	741	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/742	742	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/746	746	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/747	747	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/75	75	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/754	754	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/758	758	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/764	764	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/765	765	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/766	766	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/773	773	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/779	779	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/785	785	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/791	791	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/8	8	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/80	80	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/802	802	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/806	806	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/811	811	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/820	820	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/826	826	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/827	827	-	-	-
