taxon	sequenceID	host_sci_name	name	clade
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/100	100	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1001	1001	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1004	1004	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1006	1006	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1008	1008	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1009	1009	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1011	1011	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1012	1012	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1013	1013	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1017	1017	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1018	1018	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1021	1021	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1023	1023	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1029	1029	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1036	1036	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1038	1038	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1039	1039	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1040	1040	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1041	1041	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1042	1042	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1043	1043	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1048	1048	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1049	1049	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1050	1050	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1059	1059	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/106	106	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1068	1068	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1070	1070	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1071	1071	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1072	1072	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1073	1073	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1074	1074	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1075	1075	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1088	1088	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1096	1096	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1103	1103	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1111	1111	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1115	1115	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/112	112	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1120	1120	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1122	1122	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1123	1123	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1124	1124	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1125	1125	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1126	1126	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1127	1127	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1130	1130	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1134	1134	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/114	114	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1144	1144	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1145	1145	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1146	1146	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1147	1147	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1155	1155	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1156	1156	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1157	1157	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1161	1161	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1163	1163	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1168	1168	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/117	117	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1176	1176	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1181	1181	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1183	1183	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1184	1184	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1185	1185	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/119	119	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1193	1193	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1194	1194	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/120	120	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1204	1204	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1206	1206	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1210	1210	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1216	1216	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1219	1219	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/122	122	-	-	-
alignment/AL_A3Z2_UNCONSTRAINED/member/fasta-digs-msa/1228	1228	-	-	-
