taxon	sequenceID	host_sci_name	name	clade
alignment/AL_A3_ROOT_UNCONSTRAINED/member/fasta-digs-refseqs/GL8735258637111	GL8735258637111	-	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/fasta-digs-refseqs/GL87353521575698	GL87353521575698	-	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/fasta-digs-refseqs/GL87354510346245	GL87354510346245	-	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/fasta-digs-refseqs/GL8735482596058	GL8735482596058	-	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/fasta-digs-refseqs/GL8735824567859	GL8735824567859	-	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/fasta-digs-refseqs/GL8735919255842	GL8735919255842	-	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/fasta-digs-refseqs/GL873832287584	GL873832287584	-	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/ncbi-refseqs/NM_001009001	NM_001009001	Pan troglodytes	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/ncbi-refseqs/NM_001349436	NM_001349436	Homo sapiens	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/ncbi-refseqs/NM_004900	NM_004900	Homo sapiens	A3Z2a-A3Z1b	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/ncbi-refseqs/NM_021822	NM_021822	Homo sapiens	A3Z2g-A3Z1c	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/ncbi-refseqs/NM_145298	NM_145298	Homo sapiens	A3Z2e-A3Z2f	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/ncbi-refseqs/NM_152426	NM_152426	Homo sapiens	A3Z2c-A3Z2d	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/ncbi-refseqs/XM_011964203	XM_011964203	Colobus angolensis palliatus	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/ncbi-refseqs/XM_015457184	XM_015457184	Macaca fascicularis	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/ncbi-refseqs/XM_017861318	XM_017861318	Rhinopithecus bieti	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/ncbi-refseqs/XM_021676043	XM_021676043	Aotus nancymaae	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/ncbi-refseqs/XM_021708335	XM_021708335	Carlito syrichta	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/ncbi-refseqs/XM_023515456	XM_023515456	Otolemur garnettii	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/ncbi-refseqs/XM_024452179	XM_024452179	Homo sapiens	-	-
alignment/AL_A3_ROOT_UNCONSTRAINED/member/ncbi-refseqs/XM_525658	XM_525658	Pan troglodytes	-	-
